direction,level_type,entry_date,exit_date,entry_price,exit_price,tp_price,sl_price,size,pnl_gross,cost,pnl_net,bars_held,exit_reason
LONG,resistance,2018-03-05 18:45:00,2018-03-05 21:15:00,11650.0,11533.5,11883.0,11533.5,0.995524,-115.98,23.08,-139.06,10,stop_loss
SHORT,support,2018-03-06 00:00:00,2018-03-06 10:00:00,11370.0,11142.6,11142.6,11483.7,1.016983,231.26,22.89,208.37,40,take_profit
SHORT,support,2018-03-06 10:00:00,2018-03-06 10:30:00,11112.0,10889.76,10889.76,11223.12,1.045283,232.3,23.0,209.31,2,take_profit
SHORT,support,2018-03-06 10:30:00,2018-03-06 15:15:00,10935.01,11044.36,10716.31,11044.36,1.066987,-116.68,23.45,-140.13,19,stop_loss
SHORT,support,2018-03-06 17:15:00,2018-03-06 19:30:00,10790.0,10574.2,10574.2,10897.9,1.07808,232.65,23.03,209.62,9,take_profit
SHORT,support,2018-03-06 19:30:00,2018-03-06 21:00:00,10635.0,10741.35,10422.3,10741.35,1.09872,-116.85,23.49,-140.34,6,stop_loss
SHORT,support,2018-03-07 06:00:00,2018-03-07 12:00:00,10540.0,10645.4,10329.2,10645.4,1.105294,-116.5,23.42,-139.91,24,stop_loss
SHORT,support,2018-03-07 16:15:00,2018-03-07 16:30:00,10419.41,10211.02,10211.02,10523.6,1.114729,232.3,23.0,209.3,1,take_profit
SHORT,support,2018-03-07 16:30:00,2018-03-07 16:45:00,10065.96,9864.64,9864.64,10166.62,1.159069,233.34,23.1,210.24,1,take_profit
SHORT,support,2018-03-07 16:45:00,2018-03-07 17:00:00,9910.02,10009.12,9711.82,10009.12,1.182612,-117.2,23.56,-140.75,1,stop_loss
SHORT,support,2018-03-07 17:00:00,2018-03-07 17:15:00,9737.19,9834.56,9542.45,9834.56,1.199989,-116.85,23.49,-140.33,1,stop_loss
SHORT,support,2018-03-07 17:15:00,2018-03-07 17:30:00,9607.11,9703.18,9414.97,9703.18,1.212585,-116.49,23.42,-139.91,1,stop_loss
SHORT,support,2018-03-07 17:30:00,2018-03-07 17:45:00,9900.0,9702.0,9702.0,9999.0,1.173178,232.29,23.0,209.29,1,take_profit
SHORT,support,2018-03-07 17:45:00,2018-03-07 18:00:00,9740.0,9837.4,9545.2,9837.4,1.197822,-116.67,23.45,-140.12,1,stop_loss
SHORT,support,2018-03-08 16:45:00,2018-03-08 17:00:00,9507.0,9316.86,9316.86,9602.07,1.223493,232.64,23.03,209.6,1,take_profit
SHORT,support,2018-03-08 17:00:00,2018-03-08 17:15:00,9277.82,9092.26,9092.26,9370.6,1.259364,233.68,23.13,210.55,1,take_profit
SHORT,support,2018-03-08 17:15:00,2018-03-08 18:30:00,9299.99,9392.99,9113.99,9392.99,1.262022,-117.37,23.59,-140.96,5,stop_loss
SHORT,support,2018-03-09 01:30:00,2018-03-09 02:00:00,9049.0,8868.02,8868.02,9139.49,1.293132,234.03,23.17,210.86,2,take_profit
SHORT,support,2018-03-09 02:00:00,2018-03-09 02:15:00,8920.0,9009.2,8741.6,9009.2,1.317743,-117.54,23.63,-141.17,1,stop_loss
SHORT,support,2018-03-09 02:15:00,2018-03-09 04:00:00,9000.01,8820.01,8820.01,9090.01,1.302107,234.38,23.2,211.18,7,take_profit
SHORT,support,2018-03-09 04:00:00,2018-03-09 05:00:00,8700.0,8787.0,8526.0,8787.0,1.353077,-117.72,23.66,-141.38,4,stop_loss
SHORT,support,2018-03-09 05:00:00,2018-03-09 05:45:00,8680.2,8506.6,8506.6,8767.0,1.352091,234.73,23.24,211.49,3,take_profit
SHORT,support,2018-03-09 05:45:00,2018-03-09 06:15:00,8467.0,8551.67,8297.66,8551.67,1.392382,-117.89,23.7,-141.59,2,stop_loss
SHORT,support,2018-03-09 06:15:00,2018-03-09 06:30:00,8633.19,8719.52,8460.53,8719.52,1.361478,-117.54,23.63,-141.16,1,stop_loss
LONG,resistance,2018-03-10 01:30:00,2018-03-10 02:00:00,9345.05,9251.6,9531.95,9251.6,1.253991,-117.19,23.32,-140.51,2,stop_loss
LONG,resistance,2018-03-10 06:00:00,2018-03-10 07:00:00,9475.0,9380.25,9664.5,9380.25,1.233085,-116.83,23.25,-140.08,4,stop_loss
SHORT,support,2018-03-10 21:30:00,2018-03-10 22:30:00,8762.0,8849.62,8586.76,8849.62,1.329429,-116.48,23.41,-139.9,4,stop_loss
SHORT,support,2018-03-11 00:00:00,2018-03-11 02:30:00,8602.0,8688.02,8429.96,8688.02,1.350091,-116.13,23.34,-139.48,10,stop_loss
LONG,resistance,2018-03-11 17:15:00,2018-03-11 17:45:00,9407.0,9595.14,9595.14,9312.93,1.230851,231.57,23.39,208.18,2,take_profit
LONG,resistance,2018-03-11 17:45:00,2018-03-11 18:30:00,9622.51,9526.28,9814.96,9526.28,1.208693,-116.31,23.15,-139.45,3,stop_loss
LONG,resistance,2018-03-11 18:30:00,2018-03-11 20:00:00,9594.97,9499.02,9786.87,9499.02,1.208529,-115.96,23.08,-139.03,6,stop_loss
LONG,resistance,2018-03-11 22:00:00,2018-03-11 22:15:00,9720.75,9623.54,9915.17,9623.54,1.189316,-115.61,23.01,-138.62,1,stop_loss
LONG,resistance,2018-03-11 22:15:00,2018-03-11 22:30:00,9648.94,9552.45,9841.92,9552.45,1.194575,-115.26,22.94,-138.2,1,stop_loss
LONG,resistance,2018-03-12 09:30:00,2018-03-12 13:00:00,9808.97,9710.88,10005.15,9710.88,1.171564,-114.92,22.87,-137.79,14,stop_loss
SHORT,support,2018-03-12 16:00:00,2018-03-12 16:30:00,9106.89,9197.96,8924.75,9197.96,1.258101,-114.57,23.03,-137.6,2,stop_loss
SHORT,support,2018-03-12 19:15:00,2018-03-12 20:30:00,8920.32,9009.52,8741.91,9009.52,1.280558,-114.23,22.96,-137.19,5,stop_loss
SHORT,support,2018-03-14 10:15:00,2018-03-14 12:15:00,8751.19,8576.17,8576.17,8838.7,1.301388,227.77,22.55,205.22,8,take_profit
SHORT,support,2018-03-14 12:15:00,2018-03-14 14:15:00,8700.0,8787.0,8526.0,8787.0,1.314942,-114.4,22.99,-137.39,8,stop_loss
SHORT,support,2018-03-14 16:30:00,2018-03-14 17:00:00,8469.99,8300.59,8300.59,8554.69,1.346595,228.11,22.58,205.53,2,take_profit
SHORT,support,2018-03-14 17:00:00,2018-03-14 17:30:00,8315.09,8398.24,8148.79,8398.24,1.37786,-114.57,23.03,-137.6,2,stop_loss
SHORT,support,2018-03-14 17:30:00,2018-03-14 21:00:00,8360.2,8193.0,8193.0,8443.8,1.366311,228.45,22.62,205.84,14,take_profit
SHORT,support,2018-03-14 21:00:00,2018-03-14 21:45:00,8122.0,7959.56,7959.56,8203.22,1.412717,229.48,22.72,206.76,3,take_profit
SHORT,support,2018-03-14 21:45:00,2018-03-14 22:00:00,8055.89,8136.45,7894.77,8136.45,1.430727,-115.26,23.17,-138.42,1,stop_loss
SHORT,support,2018-03-14 22:00:00,2018-03-14 22:15:00,8102.1,8183.12,7940.06,8183.12,1.418296,-114.91,23.1,-138.01,1,stop_loss
SHORT,support,2018-03-15 02:15:00,2018-03-15 02:30:00,7830.71,7909.02,7674.1,7909.02,1.463044,-114.57,23.03,-137.59,1,stop_loss
SHORT,support,2018-03-15 02:30:00,2018-03-15 03:15:00,7855.85,7934.41,7698.73,7934.41,1.453983,-114.22,22.96,-137.18,3,stop_loss
SHORT,support,2018-03-15 03:15:00,2018-03-15 05:00:00,7939.0,7780.22,7780.22,8018.39,1.434435,227.76,22.55,205.21,7,take_profit
SHORT,support,2018-03-15 05:45:00,2018-03-15 06:30:00,7765.52,7843.18,7610.21,7843.18,1.473086,-114.39,22.99,-137.39,3,stop_loss
SHORT,support,2018-03-15 06:30:00,2018-03-15 07:00:00,7851.0,7929.51,7693.98,7929.51,1.452673,-114.05,22.92,-136.97,2,stop_loss
LONG,resistance,2018-03-16 13:15:00,2018-03-16 13:30:00,8496.93,8411.96,8666.87,8411.96,1.338212,-113.71,22.63,-136.33,1,stop_loss
