asset,direction,signal_type,entry_date,exit_date,entry_price,exit_price,size,pnl_gross,cost,pnl_net,bars_held,exit_reason
Gold,LONG,pullback,2025-02-20 21:00:00+00:00,2025-02-21 01:00:00+00:00,2952.8,2945.3999,6.737373,-49.86,33.69,-83.54,3,ma_cross
Gold,LONG,breakout,2025-03-04 09:00:00+00:00,2025-03-05 01:00:00+00:00,2925.0,2917.7,6.795695,-49.61,33.98,-83.59,15,ma_cross
Gold,LONG,pullback,2025-03-05 04:00:00+00:00,2025-03-05 10:00:00+00:00,2919.3999,2919.3999,6.803004,0.0,34.02,-34.02,6,stop_loss
Gold,LONG,pullback,2025-03-12 06:00:00+00:00,2025-03-12 09:00:00+00:00,2921.6001,2920.8999,6.795552,-4.76,33.98,-38.74,3,ma_cross
Gold,LONG,pullback,2025-03-12 12:00:00+00:00,2025-03-12 13:00:00+00:00,2920.8,2912.3445,6.794761,-57.45,33.97,-91.43,1,stop_loss
Gold,LONG,breakout,2025-03-12 16:00:00+00:00,2025-03-14 10:00:00+00:00,2935.8,3004.8999,6.753816,466.69,33.77,432.92,40,max_hold
Gold,LONG,breakout,2025-03-28 08:00:00+00:00,2025-03-28 09:00:00+00:00,3117.8999,3088.2998,6.387132,-189.06,31.94,-221.0,1,stop_loss
Gold,LONG,pullback,2025-03-31 03:00:00+00:00,2025-04-01 07:00:00+00:00,3138.7,3156.1001,6.330722,110.16,31.65,78.5,27,ma_cross
Gold,LONG,pullback,2025-04-03 01:00:00+00:00,2025-04-03 04:00:00+00:00,3174.8,3162.3999,6.263682,-77.67,31.32,-108.99,3,ma_cross
Gold,LONG,breakout,2025-04-09 07:00:00+00:00,2025-04-09 18:00:00+00:00,3057.1001,3057.1001,6.497707,0.0,32.49,-32.49,11,stop_loss
Gold,LONG,pullback,2025-04-11 20:00:00+00:00,2025-04-14 00:00:00+00:00,3248.2,3238.0,6.11343,-62.36,30.57,-92.92,3,ma_cross
Gold,LONG,pullback,2025-04-14 03:00:00+00:00,2025-04-14 07:00:00+00:00,3247.7,3219.8064,6.108649,-170.39,30.54,-200.94,4,stop_loss
Gold,LONG,breakout,2025-04-15 23:00:00+00:00,2025-04-17 05:00:00+00:00,3256.8999,3342.3,6.079054,519.15,30.4,488.76,29,ma_cross
Gold,LONG,pullback,2025-04-17 09:00:00+00:00,2025-04-17 12:00:00+00:00,3337.5,3341.5,5.961535,23.85,29.81,-5.96,3,ma_cross
Gold,LONG,breakout,2025-04-21 01:00:00+00:00,2025-04-22 12:00:00+00:00,3382.2,3442.8999,5.882393,357.06,29.41,327.65,34,ma_cross
Gold,LONG,breakout,2025-04-24 23:00:00+00:00,2025-04-25 00:00:00+00:00,3378.5,3361.1001,5.908232,-102.8,29.54,-132.34,1,stop_loss
Gold,LONG,breakout,2025-05-05 10:00:00+00:00,2025-05-06 22:00:00+00:00,3317.3999,3389.3,6.009071,432.05,30.05,402.01,34,ma_cross
Gold,LONG,pullback,2025-05-30 07:00:00+00:00,2025-05-30 10:00:00+00:00,3325.3999,3319.3,6.018793,-36.71,30.09,-66.81,3,ma_cross
Gold,LONG,breakout,2025-06-02 07:00:00+00:00,2025-06-03 03:00:00+00:00,3369.0,3387.1001,5.936934,107.46,29.68,77.77,19,ma_cross
Gold,LONG,pullback,2025-06-03 08:00:00+00:00,2025-06-03 11:00:00+00:00,3384.7,3383.3,5.913991,-8.28,29.57,-37.85,3,ma_cross
Gold,LONG,breakout,2025-06-05 11:00:00+00:00,2025-06-05 12:00:00+00:00,3424.0,3411.7,5.843901,-71.88,29.22,-101.1,1,stop_loss
Gold,LONG,breakout,2025-06-11 23:00:00+00:00,2025-06-12 07:00:00+00:00,3389.5,3376.4001,5.897417,-77.26,29.49,-106.74,8,stop_loss
Gold,LONG,breakout,2025-06-13 03:00:00+00:00,2025-06-13 04:00:00+00:00,3463.5,3446.0,5.765251,-100.89,28.83,-129.72,1,stop_loss
Gold,LONG,breakout,2025-07-22 13:00:00+00:00,2025-07-23 07:00:00+00:00,3419.3,3434.3,5.832189,87.48,29.16,58.32,17,ma_cross
Gold,LONG,pullback,2025-07-29 15:00:00+00:00,2025-07-30 05:00:00+00:00,3325.6001,3322.0,6.000021,-21.6,30.0,-51.6,13,ma_cross
Gold,LONG,breakout,2025-07-30 08:00:00+00:00,2025-07-30 11:00:00+00:00,3383.2,3323.0,5.894818,-354.87,29.47,-384.34,3,stop_loss
Gold,LONG,breakout,2025-08-07 08:00:00+00:00,2025-08-07 09:00:00+00:00,3469.2,3454.8999,5.726531,-81.89,28.63,-110.52,1,stop_loss
Gold,LONG,breakout,2025-08-07 22:00:00+00:00,2025-08-08 01:00:00+00:00,3487.8999,3487.8999,5.689491,0.0,28.45,-28.45,3,stop_loss
Gold,LONG,breakout,2025-08-26 01:00:00+00:00,2025-08-26 10:00:00+00:00,3431.3,3418.3999,5.781682,-74.58,28.91,-103.49,9,ma_cross
Gold,LONG,breakout,2025-08-27 17:00:00+00:00,2025-08-29 06:00:00+00:00,3448.8999,3469.1001,5.746177,116.07,28.73,87.34,35,ma_cross
Gold,LONG,breakout,2025-08-29 14:00:00+00:00,2025-09-03 14:00:00+00:00,3492.5,3621.3,5.679443,731.51,28.4,703.12,40,max_hold
