asset,direction,signal_type,entry_date,exit_date,entry_price,exit_price,size,pnl_gross,cost,pnl_net,bars_held,exit_reason
BTC-Binance,SHORT,pullback,2021-03-24 01:35:00,2021-03-24 01:55:00,54266.73,54555.2092,0.272228,-78.53,29.62,-108.16,4,stop_loss
BTC-Binance,SHORT,pullback,2021-03-25 04:50:00,2021-03-25 05:15:00,52222.32,52575.065,0.282471,-99.64,29.6,-129.24,5,stop_loss
BTC-Binance,SHORT,pullback,2021-03-25 13:40:00,2021-03-25 15:45:00,51634.56,51337.11,0.285185,84.83,29.37,55.46,25,ma_cross
BTC-Binance,SHORT,pullback,2021-03-26 00:15:00,2021-03-26 01:50:00,51813.33,52304.764,0.284415,-139.77,29.61,-169.38,19,stop_loss
BTC-Binance,SHORT,pullback,2021-03-26 07:00:00,2021-03-26 07:30:00,52582.44,52862.0147,0.279611,-78.17,29.48,-107.66,6,stop_loss
BTC-Binance,LONG,pullback,2021-03-28 17:20:00,2021-03-28 17:25:00,56179.14,55962.7805,0.261327,-56.54,29.31,-85.85,1,stop_loss
BTC-Binance,LONG,pullback,2021-03-29 18:20:00,2021-03-29 19:45:00,57789.53,57483.7211,0.253747,-77.6,29.25,-106.85,17,stop_loss
BTC-Binance,LONG,pullback,2021-04-01 02:35:00,2021-04-01 04:40:00,59149.52,59051.43,0.247552,-24.28,29.26,-53.54,25,ma_cross
BTC-Binance,LONG,pullback,2021-04-02 16:40:00,2021-04-02 17:05:00,59366.64,59150.81,0.246466,-53.19,29.21,-82.41,5,stop_loss
BTC-Binance,SHORT,pullback,2021-04-04 07:20:00,2021-04-04 08:00:00,57410.01,57626.8376,0.254579,-55.2,29.29,-84.49,8,stop_loss
BTC-Binance,SHORT,pullback,2021-04-07 09:00:00,2021-04-07 12:35:00,57749.02,56445.86,0.252792,329.43,28.87,300.56,43,ma_cross
BTC-Binance,LONG,pullback,2021-04-09 12:05:00,2021-04-09 14:05:00,58577.03,58427.97,0.250245,-37.3,29.28,-66.58,24,ma_cross
BTC-Binance,LONG,pullback,2021-04-14 12:45:00,2021-04-14 12:50:00,64267.33,63904.0862,0.227881,-82.78,29.21,-111.98,1,stop_loss
BTC-Binance,LONG,pullback,2021-04-15 21:30:00,2021-04-15 21:50:00,63344.71,63344.71,0.230846,0.0,29.25,-29.25,4,stop_loss
BTC-Binance,SHORT,pullback,2021-04-18 12:40:00,2021-04-18 13:30:00,54631.71,55209.9182,0.267556,-154.7,29.39,-184.09,10,stop_loss
BTC-Binance,SHORT,pullback,2021-04-20 12:45:00,2021-04-20 13:30:00,55791.54,56193.9433,0.261334,-105.16,29.27,-134.43,9,stop_loss
BTC-Binance,SHORT,pullback,2021-04-22 00:35:00,2021-04-22 01:10:00,53934.96,54432.1006,0.269831,-134.14,29.24,-163.38,7,stop_loss
BTC-Binance,SHORT,pullback,2021-04-24 11:35:00,2021-04-24 12:05:00,49306.15,49306.15,0.2945,0.0,29.04,-29.04,6,stop_loss
BTC-Binance,LONG,pullback,2021-04-27 16:15:00,2021-04-27 16:30:00,54926.76,54713.3301,0.264258,-56.4,28.97,-85.37,3,stop_loss
BTC-Binance,LONG,pullback,2021-04-30 17:05:00,2021-04-30 17:20:00,56791.73,56471.8172,0.25528,-81.67,28.91,-110.58,3,stop_loss
BTC-Binance,LONG,pullback,2021-05-03 03:35:00,2021-05-03 03:50:00,58064.71,57831.2711,0.249302,-58.2,28.89,-87.09,3,stop_loss
BTC-Binance,SHORT,pullback,2021-05-04 12:55:00,2021-05-04 17:00:00,56007.0,54135.78,0.25815,483.06,28.43,454.62,49,ma_cross
BTC-Binance,LONG,pullback,2021-05-07 14:15:00,2021-05-07 17:50:00,56914.13,58059.91,0.255633,292.9,29.39,263.51,43,ma_cross
BTC-Binance,LONG,pullback,2021-05-08 02:25:00,2021-05-08 04:45:00,57580.65,58050.0,0.25359,119.02,29.32,89.7,28,ma_cross
BTC-Binance,LONG,pullback,2021-05-08 12:45:00,2021-05-08 14:00:00,58628.25,58628.25,0.249364,0.0,29.24,-29.24,15,stop_loss
BTC-Binance,SHORT,breakout,2021-05-13 00:05:00,2021-05-13 00:20:00,47148.56,49664.15,0.290468,-730.7,28.12,-758.82,3,stop_loss
BTC-Binance,SHORT,pullback,2021-05-13 16:35:00,2021-05-13 18:45:00,50143.18,48369.21,0.288418,511.64,28.41,483.23,26,ma_cross
BTC-Binance,SHORT,pullback,2021-05-14 04:40:00,2021-05-14 05:45:00,48985.74,49628.4742,0.297206,-191.02,29.31,-220.33,13,stop_loss
BTC-Binance,SHORT,pullback,2021-05-15 18:10:00,2021-05-15 19:45:00,47730.01,47730.01,0.304101,0.0,29.03,-29.03,19,stop_loss
BTC-Binance,SHORT,pullback,2021-05-16 18:10:00,2021-05-16 21:35:00,47110.99,45078.5,0.307974,625.95,28.39,597.56,41,ma_cross
BTC-Binance,SHORT,pullback,2021-05-18 22:50:00,2021-05-18 23:45:00,43099.92,43099.92,0.339408,0.0,29.26,-29.26,11,stop_loss
BTC-Binance,SHORT,pullback,2021-05-21 19:05:00,2021-05-21 21:25:00,36816.49,35766.56,0.397176,417.01,28.83,388.18,28,ma_cross
BTC-Binance,LONG,pullback,2021-05-25 08:15:00,2021-05-25 08:20:00,38698.77,38530.6752,0.379864,-63.85,29.34,-93.19,1,stop_loss
BTC-Binance,LONG,pullback,2021-06-01 01:30:00,2021-06-01 01:35:00,37492.74,37278.9356,0.391586,-83.72,29.28,-113.0,1,stop_loss
BTC-Binance,LONG,pullback,2021-06-01 06:45:00,2021-06-01 07:05:00,36837.31,37002.3729,0.397939,65.69,29.38,36.3,4,stop_loss
